Josh Gordon,NE,WR,12,152.13,47%,-,171,0,0,0,0,0,0,41,737,4,30,0,0,0,0
Doug Martin,Oak,RB,16,151.03,0%,-,173,0,0,0,723,4,37,18,116,0,6,0,0,0,3
Courtland Sutton,Den,WR,16,150.83,91%,-,174,0,0,0,-1,0,0,42,704,4,30,0,0,0,0
Alex Smith,Was,QB,10,151.00,0%,-,175,2180,10,5,168,1,15,0,0,0,0,0,0,0,1
Christian Kirk,Ari,WR,12,149.23,70%,-,177,0,0,0,35,0,2,43,590,3,21,164,0,0,0
Rob Gronkowski,NE,TE,13,148.47,4%,-,178,0,0,0,0,0,0,47,682,3,34,0,0,0,1
Devin Funchess,Ind,WR,14,147.60,6%,-,180,0,0,0,0,0,0,44,549,4,35,0,0,0,0
Joe Flacco,Den,QB,9,147.10,7%,-,181,2465,12,6,45,0,10,0,0,0,0,0,0,0,1
Jamaal Williams,GB,RB,16,146.90,61%,-,182,0,0,0,464,3,25,27,210,0,11,95,0,1,0
Jimmy Graham,GB,TE,16,145.40,79%,-,183,0,0,0,0,0,0,55,636,2,32,0,0,0,0
LeSean McCoy,KC,RB,14,145.27,86%,-,184,0,0,0,514,3,22,34,238,0,10,0,0,0,0
Latavius Murray,NO,RB,16,145.20,88%,-,185,0,0,0,578,6,23,22,141,0,7,0,0,1,0
Donte Moncrief,Pit,WR,16,144.23,8%,-,186,0,0,0,0,0,0,48,668,3,29,7,0,0,1
Danny Amendola,Det,WR,15,143.15,9%,-,188,28,1,0,-2,0,0,59,575,1,27,59,0,0,0
Wendell Smallwood,Was,RB,16,142.03,1%,-,189,0,0,0,364,3,22,28,230,2,9,33,0,1,1
O.J. Howard,TB,TE,10,139.67,44%,-,190,0,0,0,0,0,0,34,565,5,28,0,0,0,0
Leonard Fournette,Jax,RB,8,139.23,99%,-,191,0,0,0,439,5,23,22,185,1,10,0,0,0,0
Evan Engram,NYG,TE,11,138.07,99%,-,192,0,0,0,36,0,3,45,577,3,22,0,0,1,0
Kendrick Bourne,SF,WR,16,136.47,0%,-,197,0,0,0,0,0,0,42,487,4,30,0,0,0,0
Marvin Jones Jr.,Det,WR,9,135.87,89%,-,198,0,0,0,0,0,0,35,508,5,27,0,0,0,0
Rashard Higgins,Cle,WR,13,134.13,1%,-,199,0,0,0,0,0,0,39,572,4,27,0,0,0,1
Frank Gore,Buf,RB,14,133.47,58%,-,200,0,0,0,722,0,25,12,124,1,8,0,0,0,0
Chris Herndon,NYJ,TE,16,131.57,28%,-,203,0,0,0,0,0,0,39,502,4,25,21,0,0,0
Jordan Reed,Was,TE,13,131.20,10%,-,204,0,0,0,0,0,0,54,558,2,26,0,0,0,1
Corey Clement,Phi,RB,11,130.70,0%,-,205,0,0,0,259,2,15,22,192,0,10,350,0,1,0
Sammy Watkins,KC,WR,10,129.80,80%,-,207,0,0,0,52,0,2,40,519,3,24,0,0,0,0
Theo Riddick,Den,RB,14,127.70,0%,-,210,0,0,0,171,0,8,61,384,0,16,0,0,0,0
Josh Doctson,Min,WR,15,126.47,0%,-,211,0,0,0,0,0,0,44,532,2,31,0,0,0,0
Nick Mullens,SF,QB,8,124.48,0%,-,214,2277,13,10,-16,0,1,0,0,0,0,0,0,1,0
Gus Edwards,Bal,RB,11,123.13,4%,-,215,0,0,0,718,2,37,2,20,0,1,0,0,1,0
Mark Andrews,Bal,TE,16,122.80,94%,-,216,0,0,0,0,0,0,34,552,3,28,0,0,0,0
